,Unnamed: 0,Date,Test_run1,Category,Test_run2,Test_run3,Test_run4,Test_run5,Test_run6,Test_run7,Test_run8,Test_run9,Test_run10
0,0,2000-12-30,41.9,Observed Data,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9
1,1,2000-12-31,43.4,Observed Data,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4
2,2,2001-01-01,42.1,Observed Data,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1
3,3,2001-01-02,40.4,Observed Data,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4
4,4,2001-01-03,38.5,Observed Data,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5
5,5,2001-01-04,38.1,Observed Data,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1
6,6,2001-01-05,38.1,Observed Data,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1
7,7,2001-01-06,37.3,Observed Data,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3
8,8,2001-01-07,36.6,Observed Data,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6
9,9,2001-01-08,36.0,Observed Data,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0
10,10,2001-01-09,35.6,Observed Data,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6
11,11,2001-01-10,35.2,Observed Data,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2
12,12,2001-01-11,35.4,Observed Data,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4
13,13,2001-01-12,35.6,Observed Data,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6
14,14,2001-01-13,35.2,Observed Data,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2
15,15,2001-01-14,34.6,Observed Data,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6
16,16,2001-01-15,34.4,Observed Data,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4
17,17,2001-01-16,33.5,Observed Data,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5
18,18,2001-01-17,33.5,Observed Data,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5
19,19,2001-01-18,33.3,Observed Data,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3
20,20,2001-01-19,32.7,Observed Data,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7
21,21,2001-01-20,32.5,Observed Data,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5
22,22,2001-01-21,32.5,Observed Data,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5
23,23,2001-01-22,31.9,Observed Data,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9
24,24,2001-01-23,32.7,Observed Data,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7
25,25,2001-01-24,31.9,Observed Data,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9
26,26,2001-01-25,31.7,Observed Data,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7
27,27,2001-01-26,32.3,Observed Data,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3
28,28,2001-01-27,31.9,Observed Data,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9
29,29,2001-01-28,32.5,Observed Data,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5
30,30,2001-01-29,32.9,Observed Data,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9
31,31,2001-01-30,32.7,Observed Data,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7
32,32,2001-01-31,33.3,Observed Data,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3
33,33,2001-02-01,31.7,Observed Data,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7
34,34,2001-02-02,31.1,Observed Data,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1
35,35,2001-02-03,30.2,Observed Data,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2
36,36,2001-02-04,30.9,Observed Data,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9
37,37,2001-02-05,29.6,Observed Data,29.6,29.6,29.6,29.6,29.6,29.6,29.6,29.6,29.6
38,38,2001-02-06,28.6,Observed Data,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6
39,39,2001-02-07,29.1,Observed Data,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1
40,40,2001-02-08,29.1,Observed Data,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1
41,41,2001-02-09,29.1,Observed Data,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1
42,42,2001-02-10,29.8,Observed Data,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8
43,43,2001-02-11,30.4,Observed Data,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4
44,44,2001-02-12,29.6,Observed Data,29.6,29.6,29.6,29.6,29.6,29.6,29.6,29.6,29.6
45,45,2001-02-13,29.1,Observed Data,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1
46,46,2001-02-14,29.4,Observed Data,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4
47,47,2001-02-15,28.5,Observed Data,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5
48,48,2001-02-16,29.1,Observed Data,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1
49,49,2001-02-17,28.6,Observed Data,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6
50,50,2001-02-18,28.0,Observed Data,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
51,51,2001-02-19,27.7,Observed Data,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7
52,52,2001-02-20,27.1,Observed Data,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1
53,53,2001-02-21,29.8,Observed Data,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8
54,54,2001-02-22,27.8,Observed Data,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8
55,55,2001-02-23,27.7,Observed Data,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7
56,56,2001-02-24,27.3,Observed Data,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3
57,57,2001-02-25,28.9,Observed Data,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9
58,58,2001-02-26,30.8,Observed Data,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8
59,59,2001-02-27,27.7,Observed Data,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7
60,60,2001-02-28,27.3,Observed Data,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3
61,61,2001-03-01,26.3,Observed Data,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3
62,62,2001-03-02,26.1,Observed Data,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1
63,63,2001-03-03,25.4,Observed Data,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4
64,64,2001-03-04,25.6,Observed Data,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6
65,65,2001-03-05,25.6,Observed Data,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6
66,66,2001-03-06,24.4,Observed Data,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4
67,67,2001-03-07,25.2,Observed Data,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2
68,68,2001-03-08,24.7,Observed Data,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7
69,69,2001-03-09,24.7,Observed Data,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7
70,70,2001-03-10,24.6,Observed Data,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6
71,71,2001-03-11,24.4,Observed Data,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4
72,72,2001-03-12,23.9,Observed Data,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9
73,73,2001-03-13,24.5,Observed Data,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5
74,74,2001-03-14,23.9,Observed Data,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9
75,75,2001-03-15,24.4,Observed Data,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4
76,76,2001-03-16,24.1,Observed Data,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1
77,77,2001-03-17,24.4,Observed Data,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4
78,78,2001-03-18,24.7,Observed Data,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7
79,79,2001-03-19,23.7,Observed Data,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7
80,80,2001-03-20,24.4,Observed Data,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4
81,81,2001-03-21,23.9,Observed Data,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9
82,82,2001-03-22,25.4,Observed Data,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4
83,83,2001-03-23,25.1,Observed Data,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1
84,84,2001-03-24,24.1,Observed Data,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1
85,85,2001-03-25,23.9,Observed Data,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9
86,86,2001-03-26,23.9,Observed Data,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9
87,87,2001-03-27,23.9,Observed Data,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9
88,88,2001-03-28,24.7,Observed Data,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7
89,89,2001-03-29,26.3,Observed Data,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3
90,90,2001-03-30,25.4,Observed Data,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4
91,91,2001-03-31,26.1,Observed Data,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1
92,92,2001-04-01,25.2,Observed Data,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2
93,93,2001-04-02,24.2,Observed Data,24.2,24.2,24.2,24.2,24.2,24.2,24.2,24.2,24.2
94,94,2001-04-03,24.1,Observed Data,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1
95,95,2001-04-04,24.4,Observed Data,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4
96,96,2001-04-05,24.9,Observed Data,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9
97,97,2001-04-06,26.1,Observed Data,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1
98,98,2001-04-07,24.1,Observed Data,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1
99,99,2001-04-08,26.1,Observed Data,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1
100,100,2001-04-09,28.2,Observed Data,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2
101,101,2001-04-10,28.4,Observed Data,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4
102,102,2001-04-11,26.8,Observed Data,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8
103,103,2001-04-12,28.7,Observed Data,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7
104,104,2001-04-13,30.0,Observed Data,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
105,105,2001-04-14,30.0,Observed Data,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
106,106,2001-04-15,29.1,Observed Data,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1
107,107,2001-04-16,30.2,Observed Data,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2
108,108,2001-04-17,28.2,Observed Data,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2
109,109,2001-04-18,29.4,Observed Data,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4
110,110,2001-04-19,27.5,Observed Data,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5
111,111,2001-04-20,28.9,Observed Data,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9
112,112,2001-04-21,29.6,Observed Data,29.6,29.6,29.6,29.6,29.6,29.6,29.6,29.6,29.6
113,113,2001-04-22,30.9,Observed Data,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9
114,114,2001-04-23,32.1,Observed Data,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1
115,115,2001-04-24,33.1,Observed Data,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1
116,116,2001-04-25,38.5,Observed Data,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5
